"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"dlt","(Intercept)",260.172940707789,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","dlt_stor",-6.67910182095908,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","dlt_stor_so1",-6.28349107708888,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","position",20.96265906612,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","surp",9.9430586314044,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","surp_so1",11.1712174600379,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","unisurp",19.8563881074731,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","unisurp_so1",3.59469762907421,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","wlen",57.6852089507365,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","wlen_so1",-15.8706149337203,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
"dlt","zone",12.4618684731622,0.000957010461835047,0.00019992194286038,0.00171409898080971,0.00185,"**"
