"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"dlt","(Intercept)",896.108060730747,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","dlt_stor",-12.481098722709,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","dlt_stor_so1",16.6201933576346,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","position",9.02139291536612,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","surp",144.570079745777,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","surp_so1",19.9450632030098,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","unisurp",2.30792058001293,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","unisurp_so1",12.6925540832,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","wlen",35.6647700621334,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","wlen_so1",-2.5288513363244,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
"dlt","zone",-40.0457641446151,0.00130333833770705,-4.96640485139015e-05,0.002656340723928,0.0288,"*"
