"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"dlt","(Intercept)",199.187385388423,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","dlt_stor",-1.14013646825737,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","dlt_stor_so1",0.00378227615080799,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","position",-6.36077504762997,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","surp",16.5839349620626,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","surp_so1",6.34710381222539,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","unisurp",17.5088911551189,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","unisurp_so1",4.4822533437225,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","wlen",59.0946305565483,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","wlen_so1",-12.7516700663944,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
"dlt","zone",-1.48308483700849,-2.60620539262884e-05,-0.000236682767655339,0.000184558659802763,0.5995,""
