sent_id,word_pos,word,stor
1,1,Unveiling,0.0
1,2,a,13.5700888147325
1,3,car,20.70227022787158
1,4,with,22.64343256074997
1,5,a,27.729125682003957
1,6,top,27.254976048915925
1,7,speed,30.883316047947908
1,8,of,30.699954594947393
1,9,"25mph,",51.46126229628089
1,10,two,19.691269032393834
1,11,seats,35.453295327996955
1,12,and,34.93565811881609
1,13,no,18.996445552402044
1,14,pedals,17.902404140918083
1,15,or,19.204450017858186
1,16,steering,32.35475730099799
1,17,wheel,20.26951901699948
1,18,might,21.59512448018827
1,19,not,23.52373886211947
1,20,make,24.929239903036937
1,21,much,16.589484507705134
1,22,of,17.333814636789715
1,23,an,31.27101052108239
1,24,impression,16.678369605158267
1,25,at,11.969101738752784
1,26,a,14.735577072917408
1,27,motor,18.5964932281184
1,28,show.,16.239517569232355
2,1,But,0.0
2,2,"Google,",8.400687953685267
2,3,in,29.14230815603956
2,4,the,34.69650093633543
2,5,"US,",28.013713285588587
2,6,sent,43.1158009384884
2,7,a,36.56217191457422
2,8,minor,36.74669263813071
2,9,earthquake,36.29254482381417
2,10,through,32.60668269045702
2,11,the,24.04179264552747
2,12,car,23.397894394713507
2,13,and,19.924262958606853
2,14,taxi,20.09626143187354
2,15,industries,34.01010640667929
2,16,as,15.433412976836651
2,17,it,22.75015886968072
2,18,unveiled,29.196322268869295
2,19,the,18.41206222441747
2,20,latest,21.373852098725532
2,21,version,18.152887950971557
2,22,of,23.28654343467985
2,23,its,18.807276392407672
2,24,driverless,19.784600528993945
2,25,car.,5.277838954282262
3,1,The,0.0
3,2,electrically,7.96575483654288
3,3,powered,40.06241914925226
3,4,"vehicle,",53.08652960478123
3,5,which,11.216002930447214
3,6,Google,19.684404968321754
3,7,has,33.14515194315858
3,8,begun,26.68730319619328
3,9,testing,18.01750882922345
3,10,around,23.721731233943107
3,11,its,38.56883482893395
3,12,headquarters,44.09401250219409
3,13,in,22.81934383280427
3,14,Mountain,28.684949232150927
3,15,"View,",25.06525922415662
3,16,"California,",20.146737098402014
3,17,dispenses,13.494016158732983
3,18,with,29.808903427552945
3,19,all,29.8872246734084
3,20,the,22.925593157258156
3,21,normal,25.065049456379917
3,22,"controls,",17.005058665132424
3,23,including,17.630120681375217
3,24,foot,11.616977513225414
3,25,pedals.,3.323976830853919
4,1,"Instead,",0.0
4,2,it,6.619121737189244
4,3,has,12.32039270464178
4,4,a,9.770902626194609
4,5,smartphone,15.07252202939866
4,6,app,67.65845777671254
4,7,that,32.68311070560888
4,8,summons,25.61222330729803
4,9,it,13.582371385700494
4,10,and,14.587454550672895
4,11,tells,19.895623311195777
4,12,it,18.144937912527713
4,13,the,15.56560448009608
4,14,"destination,",16.011866588900922
4,15,and,14.292105111212694
4,16,a,15.656118454795054
4,17,single,24.39379622287393
4,18,STOP,17.863226073843826
