item,condition,word_position,word,region,stor
6,CE,5,artist,N2,43.32587559673418
6,CE,6,who,WHO,60.36282508408935
6,CE,7,the,THE,28.73699905050829
6,CE,8,singer,N3,48.39422646042745
6,CE,9,ignored,V3,30.050306383673636
6,CE,10,called,V2,9.5666386597822
6,CE,11,helped,V1,8.268316363092556
6,CE,12,the,THE,2.761553208163919
6,CE,13,pilot,N4,0.9467941613506499
6,RB,1,The,THE,0.0
6,RB,2,singer,N3,21.040683585662045
6,RB,3,ignored,V3,24.834531432717156
6,RB,4,the,THE,24.247283600664627
6,RB,5,artist,N2,25.493864073052315
6,RB,6,who,WHO,28.324797138304415
6,RB,7,called,V2,35.923837925952775
6,RB,8,the,THE,22.522063038923797
6,RB,9,reporter,N1,23.635770940631268
6,RB,10,who,WHO,17.55017916815538
6,RB,11,helped,V1,23.27799393256763
6,RB,12,the,THE,7.757206043981332
6,RB,13,pilot,N4,5.8669592252764176
7,CE,1,The,THE,0.0
7,CE,2,banker,N1,21.040683585662045
7,CE,3,who,WHO,31.166932637485765
7,CE,4,the,THE,34.8327951233524
7,CE,5,detective,N2,46.05680977959873
7,CE,6,who,WHO,53.9123330240017
7,CE,7,the,THE,24.246485085216673
7,CE,8,doctor,N3,44.398810797479676
7,CE,9,helped,V3,26.265332282459433
7,CE,10,attacked,V2,22.672809046330837
7,CE,11,warned,V1,10.645072995040119
7,CE,12,the,THE,2.8799240781108555
7,CE,13,president,N4,1.0463946862359128
7,RB,1,The,THE,0.0
7,RB,2,doctor,N3,21.040683585662045
7,RB,3,helped,V3,18.79373403575777
7,RB,4,the,THE,18.50795665619447
7,RB,5,detective,N2,25.949535546166345
7,RB,6,who,WHO,34.25804217485035
7,RB,7,attacked,V2,30.29828025675078
7,RB,8,the,THE,17.564627043693402
7,RB,9,banker,N1,26.518641960275257
7,RB,10,who,WHO,15.715626150322265
7,RB,11,warned,V1,13.350829175792327
7,RB,12,the,THE,4.422187123040695
7,RB,13,president,N4,1.1902434745404613
8,CE,1,The,THE,0.0
8,CE,2,neighbor,N1,21.040683585662045
8,CE,3,who,WHO,15.593029242061458
8,CE,4,the,THE,26.68127546225451
8,CE,5,thief,N2,36.00189620764783
8,CE,6,who,WHO,29.169465420489352
8,CE,7,the,THE,27.294877571759955
8,CE,8,teacher,N3,42.88634594227785
8,CE,9,stopped,V3,24.57581350247097
8,CE,10,admired,V2,11.155547567518088
8,CE,11,praised,V1,8.337899745524657
8,CE,12,the,THE,1.1825552857288206
8,CE,13,senator,N4,0.41659793219077107
8,RB,1,The,THE,0.0
8,RB,2,teacher,N3,21.040683585662045
8,RB,3,stopped,V3,26.550246868059016
8,RB,4,the,THE,22.813035401681464
8,RB,5,thief,N2,26.355088308118226
8,RB,6,who,WHO,33.351534348868654
8,RB,7,admired,V2,24.52116055471015
8,RB,8,the,THE,17.265120246116062
8,RB,9,neighbor,N1,20.15438447358082
8,RB,10,who,WHO,13.530960289410606
8,RB,11,praised,V1,13.267595984502929
8,RB,12,the,THE,5.298506691893315
8,RB,13,senator,N4,0.6266355456422831
9,CE,1,The,THE,0.0
9,CE,2,doctor,N1,21.040683585662045
9,CE,3,who,WHO,18.79373403575777
9,CE,4,the,THE,51.24968627248873
9,CE,5,chef,N2,66.79487062901076
9,CE,6,who,WHO,56.675972115684914
9,CE,7,the,THE,34.43668158619746
9,CE,8,president,N3,48.82774136563516
9,CE,9,avoided,V3,29.441811556959543
9,CE,10,watched,V2,13.603129600293853
9,CE,11,called,V1,11.257014341984972
9,CE,12,the,THE,6.155799814706523
9,CE,13,guard,N4,9.13987798891339
9,RB,1,The,THE,0.0
9,RB,2,president,N3,21.040683585662045
9,RB,3,avoided,V3,35.30457173982382
9,RB,4,the,THE,44.51421414440718
9,RB,5,chef,N2,53.44542489241089
9,RB,6,who,WHO,37.47351133515793
9,RB,7,watched,V2,45.02675512068201
9,RB,8,the,THE,22.47166469472026
9,RB,9,doctor,N1,17.723877550189947
9,RB,10,who,WHO,16.12925377720396
9,RB,11,called,V1,31.394235937253544
9,RB,12,the,THE,7.882293529077716
9,RB,13,guard,N4,9.171935447545062
10,CE,1,The,THE,0.0
10,CE,2,thief,N1,21.040683585662045
10,CE,3,who,WHO,24.18671406275316
10,CE,4,the,THE,26.62023383196643
10,CE,5,neighbor,N2,37.864893629587634
10,CE,6,who,WHO,34.50774653736048
10,CE,7,the,THE,22.24336969999195
10,CE,8,judge,N3,35.54351712566994
10,CE,9,met,V3,29.04686664191722
10,CE,10,attacked,V2,9.98165657291564
10,CE,11,praised,V1,7.456345349934474
10,CE,12,the,THE,1.2428518912042121
10,CE,13,banker,N4,0.47476788451740043
10,RB,1,The,THE,0.0
10,RB,2,judge,N3,21.040683585662045
10,RB,3,met,V3,35.893149341732816
10,RB,4,the,THE,22.824509826173056
10,RB,5,neighbor,N2,25.267619176015785
10,RB,6,who,WHO,13.81377902993328
10,RB,7,attacked,V2,20.085792116989253
10,RB,8,the,THE,15.688461587358725
10,RB,9,thief,N1,10.797471057042431
10,RB,10,who,WHO,11.746262354833695
