sent_id,word_pos,word,stor
1,1,If,0.0
1,2,you,40.85038139778604
1,3,were,46.34169938471827
1,4,to,60.99591867534768
1,5,journey,53.821560924841606
1,6,to,47.19822836442864
1,7,the,59.03328568437027
1,8,North,58.74542628283563
1,9,of,52.80493088768594
1,10,"England,",65.76712982467876
1,11,you,54.65246137238787
1,12,would,58.197193618040245
1,13,come,33.09846897240838
1,14,to,36.38136526385227
1,15,a,51.168740144111716
1,16,valley,52.19679172109383
1,17,that,32.129952758662434
1,18,is,45.947807906408144
1,19,surrounded,28.23585888477602
1,20,by,28.079555026904664
1,21,moors,9.085240882367051
1,22,as,9.631541886398061
1,23,high,30.6356011001261
1,24,as,49.958419031307606
1,25,mountains.,10.450839788760005
2,1,It,0.0
2,2,is,61.13613406680432
2,3,in,82.94834420698778
2,4,this,146.61243612435123
2,5,valley,168.33485481044983
2,6,where,148.6541267882079
2,7,you,149.9393283726039
2,8,would,237.2790672677636
2,9,find,189.52379088080863
2,10,the,181.63242817179238
2,11,city,220.24636231223172
2,12,of,218.07930386313274
2,13,"Bradford,",198.7262574812674
2,14,where,243.88828796374267
2,15,once,184.47815905428135
2,16,a,135.7650643334077
2,17,thousand,143.4765555473661
2,18,spinning,195.65385879640343
2,19,jennies,183.03745522852407
2,20,that,128.14210462863397
2,21,hummed,97.26389474559019
2,22,and,81.36822505306569
2,23,clattered,95.25401463777209
2,24,spun,49.389423417693315
2,25,wool,44.472379192602155
2,26,into,45.03048476869537
2,27,money,36.64995875500401
2,28,for,29.8075539791191
2,29,the,25.46554877954631
2,30,long-bearded,26.501369619036577
2,31,mill,12.510404327697671
2,32,owners.,11.81057620832577
3,1,That,0.0
3,2,all,75.67225631073924
3,3,mill,65.58168884345534
3,4,owners,124.51726912007862
3,5,were,162.50100379330837
3,6,generally,154.21746629380723
3,7,busy,174.4085762221251
3,8,as,219.2105489862335
3,9,beavers,222.87809587018268
3,10,and,141.246417129601
3,11,quite,120.8630261260696
3,12,pleased,92.69760092476214
3,13,with,91.30111710621206
3,14,themselves,71.69503866952505
3,15,for,119.61498586494139
3,16,being,142.7776357684727
3,17,so,116.14959031252141
3,18,successful,149.96596745332667
3,19,and,169.93623910320318
3,20,well,154.6614971211976
3,21,off,133.13903105442827
3,22,was,135.1426689229463
3,23,known,138.97234625962096
3,24,to,175.4251783121
3,25,the,146.50689346720446
3,26,residents,143.75575734225632
3,27,of,133.70085701296952
3,28,"Bradford,",135.04023923777146
3,29,and,128.10723187850118
3,30,if,142.12215975309178
3,31,you,247.2129036346502
3,32,were,236.13991679013327
3,33,to,232.91660246922393
3,34,go,241.58936160211633
3,35,into,205.6515685739159
3,36,the,219.92235731696525
3,37,city,222.5484365368103
3,38,to,233.14551206545292
3,39,visit,192.52245363795038
3,40,the,176.29795219256943
3,41,stately,170.21738417306113
3,42,City,157.79725524653534
3,43,"Hall,",168.52468016688954
3,44,you,113.0949443648101
3,45,would,58.271196269356146
3,46,see,45.834999025258064
3,47,there,50.35072781844714
3,48,the,44.625125347489806
3,49,Crest,50.66007840850974
3,50,of,45.388915477440484
3,51,the,66.62631618894447
3,52,City,44.760418471866224
3,53,of,58.27112423012327
3,54,"Bradford,",70.11340510087295
3,55,which,32.242924260157814
3,56,those,35.83708917817806
3,57,same,50.95380346645809
3,58,mill,33.27403440616239
3,59,owners,55.64421421852369
3,60,created,23.430959620621884
3,61,to,26.929466240724278
3,62,celebrate,37.2488000030524
3,63,their,17.75301012574297
3,64,achievements.,8.356794080336398
4,1,It,0.0
4,2,shows,60.72843337053015
4,3,a,84.76752440508871
4,4,sinister,71.58680981535443
4,5,looking,54.85439207167385
4,6,boar's,47.59605106516785
4,7,head,67.58880875871408
4,8,sitting,52.740142271383505
4,9,on,50.74947404452365
4,10,top,44.38639981996498
4,11,of,64.22847964348065
4,12,a,49.23763024017192
4,13,well,51.2895206361076
4,14,which,64.7120144558176
4,15,seems,82.29418519175154
4,16,puzzling,68.32907071612213
4,17,at,48.65888901399637
4,18,"first,",41.36958981896735
4,19,but,46.962519219119464
4,20,the,31.509565697104307
4,21,reason,34.39765170367475
4,22,for,43.49626066850638
4,23,this,48.92306549622383
4,24,symbol,25.85191430242914
4,25,is,24.385006361570984
4,26,a,14.822709835110059
4,27,matter,14.561262423300224
4,28,of,21.862555804287165
4,29,legend.,7.539233877998409
5,1,There,0.0
5,2,was,35.2299003124722
5,3,"once,",35.11402803334929
5,4,legend,79.75218009923955
5,5,has,69.58070133006542
5,6,"it,",127.04354910789596
5,7,a,59.87917581729826
5,8,fearsome,45.95869058159378
5,9,"boar,",46.264851172954685
5,10,which,46.56877444201052
5,11,lived,49.748252534998066
5,12,in,45.88670801699708
5,13,a,58.85064969718675
5,14,wood,45.15288517602865
5,15,located,30.348578367315614
5,16,just,27.795924893733048
5,17,outside,16.040948677804714
5,18,the,7.438670698279762
5,19,manor,8.117576987766489
5,20,of,9.43951714040876
5,21,Bradford.,14.469440391890354
6,1,A,0.0
6,2,source,24.668687874559545
6,3,of,59.13538421695088
6,4,great,69.52835909820593
6,5,trouble,47.59756244870363
6,6,to,52.240553996475754
6,7,the,57.85485780893589
6,8,local,49.88602276311606
6,9,folk,69.47650099750861
6,10,the,77.45983744846654
6,11,boar,91.36351550763281
6,12,"was,",119.84646488197427
6,13,bringing,225.75324541699763
6,14,terror,95.57034572416141
6,15,to,82.5620342828713
6,16,the,76.22739283209255
6,17,peaceful,66.25871996041681
6,18,flocks,48.95736456060347
6,19,and,24.845094940349533
6,20,ravaging,28.840272342832368
