sent_id,word_pos,word,stor
4,21,between,70.37141521502167
4,22,the,55.4082435386599
4,23,two,41.90134145082404
4,24,front-facing,41.91680815158577
4,25,seats,31.88127992659435
4,26,in,20.272137683960555
4,27,case,32.09119898353676
4,28,the,58.8673063459098
4,29,occupants,55.3441155507151
4,30,need,26.92118810540138
4,31,to,19.416154461633187
4,32,override,9.204584412288472
4,33,the,8.365165962327387
4,34,computer.,5.104152074259283
5,1,The,0.0
5,2,"car,",42.14223251939504
5,3,in,41.51909569172576
5,4,"fact,",45.25876109255715
5,5,takes,66.21212358293133
5,6,over,53.22775212664131
5,7,all,42.316453352476174
5,8,the,75.15335008457333
5,9,tasks,70.14407212276805
5,10,of,49.291310841020426
5,11,"navigation,",55.957686703343384
5,12,"steering,",34.36105711698609
5,13,acceleration,15.018878684291897
5,14,and,15.66979813757625
5,15,braking.,2.634802860437549
6,1,The,0.0
6,2,company,23.121083416644268
6,3,is,38.37048100332279
6,4,building,47.613434985525735
6,5,about,41.28372728704361
6,6,100,31.110467809502442
6,7,prototypes,47.15391286385455
6,8,for,42.66211934764051
6,9,a,25.428761158455433
6,10,two-year,13.723632195198233
6,11,test.,8.409035822934534
7,1,The,0.0
7,2,company's,30.71730119507004
7,3,"co-founder,",58.95313454579687
7,4,Sergey,40.53617502806114
7,5,"Brin,",89.11395147747011
7,6,told,69.08760677608895
7,7,a,113.8714321888523
7,8,conference,128.44512722454726
7,9,in,94.06400755741608
7,10,California,99.18193435502538
7,11,that,86.15241031560387
7,12,the,121.92692783058936
7,13,vehicle,121.53734602253155
7,14,was,117.3301027896669
7,15,“still,80.29945834631397
7,16,in,63.90392929122829
7,17,the,71.31537776667358
7,18,prototype,67.48812050536837
7,19,stage”,44.9966682177661
7,20,but,37.95103671895951
7,21,that,34.03428100826192
7,22,the,36.327874058898026
7,23,project,74.31664548053442
7,24,was,51.44572975841062
7,25,“about,39.48770362847461
7,26,changing,28.43578333657174
7,27,the,26.444101927668903
7,28,world,37.30607428249767
7,29,for,35.85681103069177
7,30,people,34.16697363134476
7,31,who,40.393628417146516
7,32,are,26.9377663542207
7,33,not,23.717706420705206
7,34,well,34.3688720086413
7,35,served,37.20399979524143
7,36,by,21.587146011534262
7,37,transportation,21.982003581559585
7,38,today.”,10.161969775558832
8,1,He,0.0
8,2,said,15.103747543454613
8,3,of,26.97496559160136
8,4,the,50.497379467131836
