"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"bertlarge","(Intercept)",333.927761450915,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","bertlargestor",0.0702401299502672,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","bertlargestor_so1",-1.77826741133819,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","position",0.394194608158777,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","surp",3.82872090884502,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","surp_so1",6.79653067676286,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","unisurp",2.78908361308654,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","unisurp_so1",7.21081120902303,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","wlen",5.40910282843373,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","wlen_so1",4.10718974707345,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
"bertlarge","zone",-16.0921619505242,0.00140390437799153,0.000330747591142419,0.00247706116484065,0.0052,"**"
