"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"bertlarge","(Intercept)",199.189105551252,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","bertlargestor",-1.26521598149919,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","bertlargestor_so1",-2.90533236882133,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","position",-4.29406242707075,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","surp",16.5284071347756,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","surp_so1",6.26073109520099,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","unisurp",17.2336421596758,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","unisurp_so1",4.49949785856124,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","wlen",59.0581217874632,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","wlen_so1",-12.7317384164684,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
"bertlarge","zone",-1.44439808143671,0.000619647316723956,0.000182631770059593,0.00105666286338832,0.00225,"**"
