"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"roberta","(Intercept)",333.926754814689,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","position",-0.314085475710085,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","robertastor",1.25468864426256,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","robertastor_so1",0.280097421229007,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","surp",3.93359660167396,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","surp_so1",6.67009036103568,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","unisurp",2.66488974126984,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","unisurp_so1",7.27582981562868,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","wlen",5.34710083120776,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","wlen_so1",3.9845418665417,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
"roberta","zone",-16.053479592268,0.00113703943271133,-0.000136912211729459,0.00241099107715213,0.03925,"*"
