"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"bert","(Intercept)",137.415491661318,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","bertstor",3.57944943776999,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","bertstor_so1",-2.91821676332659,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","position",-2.22931328314115,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","surp",7.2852946769091,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","surp_so1",2.44853328058541,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","unisurp",7.53143637111191,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","unisurp_so1",1.45023853144279,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","wlen",34.6473734894353,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","wlen_so1",-7.15163226162897,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
"bert","zone",-1.28417094317191,0.000705940365733144,0.000238038317321272,0.00117384241414502,0.00165,"**"
