"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"roberta","(Intercept)",896.19477165037,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","position",11.4040621998455,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","robertastor",14.6113559345176,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","robertastor_so1",-1.49171398888798,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","surp",143.707017158904,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","surp_so1",18.2596414867737,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","unisurp",1.27730565727855,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","unisurp_so1",16.7800705256881,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","wlen",34.8427348890038,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","wlen_so1",-3.49992599794431,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
"roberta","zone",-39.5837476056252,0.00125161361407084,-8.51124857607836e-05,0.00258833971390247,0.034,"*"
