"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"bert","(Intercept)",260.104821082681,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","bertstor",-2.36506817475448,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","bertstor_so1",-11.8253064713073,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","position",21.0793305819327,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","surp",9.24317406389408,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","surp_so1",9.63253712026551,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","unisurp",17.854684770203,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","unisurp_so1",2.21985095652945,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","wlen",57.9301658048492,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","wlen_so1",-14.9584859163743,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
"bert","zone",12.0623095449263,0.0018272564220949,0.00126632086482449,0.00238819197936531,0,"***"
