"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"roberta","(Intercept)",137.410976884137,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","position",-2.22247374818043,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","robertastor",2.77513788185345,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","robertastor_so1",-3.56075921113277,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","surp",7.29002632863706,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","surp_so1",1.87596774426702,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","unisurp",7.54750836648495,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","unisurp_so1",1.37943965706177,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","wlen",34.6062088173695,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","wlen_so1",-6.9057229097895,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
"roberta","zone",-1.28569861123125,0.00125224406674034,0.000649334766178158,0.00185515336730253,5e-05,"***"
